word	chosen_tier	chosen_attested	also_fits	alternative_split	alt_stem	alt_stem_attested	suspicion
𐤊𐤁𐤀𐤌	exact	1	proclitic	𐤊 + 𐤁 + 𐤀𐤌	𐤀𐤌	812	812.0
𐤌𐤋𐤀𐤌	exact	1	proclitic	𐤌 + 𐤋 + 𐤀𐤌	𐤀𐤌	812	812.0
𐤊𐤀𐤌	plene	1	proclitic	𐤊 + 𐤀𐤌	𐤀𐤌	812	812.0
𐤌𐤄𐤋𐤉	plene	1	proclitic	𐤌 + 𐤄 + 𐤋𐤉	𐤋𐤉	747	747.0
𐤊𐤁𐤋𐤉	exact	1	proclitic	𐤊 + 𐤁 + 𐤋𐤉	𐤋𐤉	747	747.0
𐤁𐤀𐤕	exact	10	proclitic	𐤁 + 𐤀𐤕	𐤀𐤕	7362	736.2
𐤊𐤌𐤔𐤄	exact	1	proclitic	𐤊 + 𐤌𐤔𐤄	𐤌𐤔𐤄	729	729.0
𐤋𐤔𐤀𐤋	exact	6	proclitic	𐤋 + 𐤔 + 𐤀𐤋	𐤀𐤋	4364	727.3
𐤄𐤀𐤍𐤉	exact	1	proclitic	𐤄 + 𐤀𐤍𐤉	𐤀𐤍𐤉	697	697.0
𐤅𐤁𐤀𐤔𐤓	exact	7	proclitic	𐤅 + 𐤁 + 𐤀𐤔𐤓	𐤀𐤔𐤓	4836	690.9
𐤌𐤔𐤀𐤕	exact	11	proclitic	𐤌 + 𐤔 + 𐤀𐤕	𐤀𐤕	7362	669.3
𐤅𐤌𐤀𐤋𐤄𐤉𐤌	exact	1	proclitic	𐤅 + 𐤌 + 𐤀𐤋𐤄𐤉𐤌	𐤀𐤋𐤄𐤉𐤌	665	665.0
𐤋𐤌𐤋𐤀	exact	5	proclitic	𐤋 + 𐤌 + 𐤋𐤀	𐤋𐤀	3316	663.2
𐤅𐤌𐤋𐤀	exact	5	proclitic	𐤅 + 𐤌 + 𐤋𐤀	𐤋𐤀	3316	663.2
𐤅𐤊𐤊𐤋	exact	5	proclitic	𐤅 + 𐤊 + 𐤊𐤋	𐤊𐤋	3140	628.0
𐤊𐤁𐤍𐤉	exact	3	proclitic	𐤊 + 𐤁𐤍𐤉	𐤁𐤍𐤉	1705	568.3
𐤌𐤁𐤊𐤄	exact	1	proclitic	𐤌 + 𐤁 + 𐤊𐤄	𐤊𐤄	554	554.0
𐤄𐤌𐤋𐤀	plene	6	proclitic	𐤄 + 𐤌 + 𐤋𐤀	𐤋𐤀	3316	552.7
𐤁𐤁𐤊𐤉	exact	8	proclitic	𐤁 + 𐤁 + 𐤊𐤉	𐤊𐤉	4369	546.1
𐤄𐤀𐤕𐤌	exact	1	proclitic	𐤄 + 𐤀𐤕𐤌	𐤀𐤕𐤌	535	535.0
𐤄𐤅𐤊𐤍	exact	1	proclitic	𐤄 + 𐤅 + 𐤊𐤍	𐤊𐤍	534	534.0
𐤌𐤅𐤊𐤍	exact	1	proclitic	𐤌 + 𐤅 + 𐤊𐤍	𐤊𐤍	534	534.0
𐤔𐤀𐤕	exact	14	proclitic	𐤔 + 𐤀𐤕	𐤀𐤕	7362	525.9
𐤅𐤁𐤀𐤇𐤃	exact	1	proclitic	𐤅 + 𐤁 + 𐤀𐤇𐤃	𐤀𐤇𐤃	498	498.0
𐤅𐤋𐤀𐤓𐤑	exact	1	proclitic	𐤅 + 𐤋 + 𐤀𐤓𐤑	𐤀𐤓𐤑	490	490.0
𐤅𐤊𐤋𐤊𐤌	exact	1	proclitic	𐤅 + 𐤊 + 𐤋𐤊𐤌	𐤋𐤊𐤌	470	470.0
𐤌𐤄𐤋𐤊𐤌	plene	1	proclitic	𐤌 + 𐤄 + 𐤋𐤊𐤌	𐤋𐤊𐤌	470	470.0
𐤅𐤊𐤌𐤄	exact	1	proclitic	𐤅 + 𐤊 + 𐤌𐤄	𐤌𐤄	451	451.0
𐤌𐤋𐤀𐤕	exact	17	proclitic	𐤌 + 𐤋 + 𐤀𐤕	𐤀𐤕	7362	433.1
𐤅𐤀𐤋𐤉𐤅	exact	1	proclitic	𐤅 + 𐤀𐤋𐤉𐤅	𐤀𐤋𐤉𐤅	428	428.0
𐤋𐤋𐤀	exact	8	proclitic	𐤋 + 𐤋𐤀	𐤋𐤀	3316	414.5
𐤄𐤔𐤍𐤀	plene	1	proclitic	𐤄 + 𐤔 + 𐤍𐤀	𐤍𐤀	407	407.0
𐤅𐤋𐤅𐤋𐤀	plene	4	proclitic	𐤅 + 𐤋 + 𐤅𐤋𐤀	𐤅𐤋𐤀	1595	398.8
𐤌𐤄𐤃𐤁𐤓	adjacent	2	proclitic	𐤌 + 𐤄 + 𐤃𐤁𐤓	𐤃𐤁𐤓	796	398.0
𐤅𐤋𐤃𐤁𐤓	exact	2	proclitic	𐤅 + 𐤋 + 𐤃𐤁𐤓	𐤃𐤁𐤓	796	398.0
𐤅𐤄𐤔𐤀𐤅𐤋	plene	1	proclitic	𐤅 + 𐤄 + 𐤔𐤀𐤅𐤋	𐤔𐤀𐤅𐤋	394	394.0
𐤔𐤀𐤉𐤍	exact	1	proclitic	𐤔 + 𐤀𐤉𐤍	𐤀𐤉𐤍	383	383.0
𐤅𐤁𐤀𐤉𐤍	exact	1	proclitic	𐤅 + 𐤁 + 𐤀𐤉𐤍	𐤀𐤉𐤍	383	383.0
𐤁𐤔𐤋𐤉	exact	2	proclitic	𐤁 + 𐤔 + 𐤋𐤉	𐤋𐤉	747	373.5
𐤔𐤋𐤉	exact	2	proclitic	𐤔 + 𐤋𐤉	𐤋𐤉	747	373.5
𐤄𐤔𐤀𐤋𐤄	exact	1	proclitic	𐤄 + 𐤔 + 𐤀𐤋𐤄	𐤀𐤋𐤄	370	370.0
𐤅𐤄𐤀𐤃𐤌	exact	1	proclitic	𐤅 + 𐤄 + 𐤀𐤃𐤌	𐤀𐤃𐤌	366	366.0
𐤅𐤄𐤏𐤃	exact	3	proclitic	𐤅 + 𐤄 + 𐤏𐤃	𐤏𐤃	1095	365.0
𐤅𐤊𐤁𐤅	exact	1	proclitic	𐤅 + 𐤊 + 𐤁𐤅	𐤁𐤅	364	364.0
𐤊𐤐𐤍𐤉	plene	1	proclitic	𐤊 + 𐤐𐤍𐤉	𐤐𐤍𐤉	351	351.0
𐤊𐤔𐤄𐤉𐤄	exact	1	proclitic	𐤊 + 𐤔 + 𐤄𐤉𐤄	𐤄𐤉𐤄	345	345.0
𐤅𐤋𐤌𐤋𐤊	exact	3	proclitic	𐤅 + 𐤋 + 𐤌𐤋𐤊	𐤌𐤋𐤊	1030	343.3
𐤅𐤌𐤉𐤄𐤅𐤃𐤄	exact	2	proclitic	𐤅 + 𐤌 + 𐤉𐤄𐤅𐤃𐤄	𐤉𐤄𐤅𐤃𐤄	683	341.5
𐤌𐤄𐤀𐤋𐤄𐤉𐤌	exact	2	proclitic	𐤌 + 𐤄 + 𐤀𐤋𐤄𐤉𐤌	𐤀𐤋𐤄𐤉𐤌	665	332.5
𐤔𐤍𐤕𐤍	exact	1	proclitic	𐤔 + 𐤍𐤕𐤍	𐤍𐤕𐤍	331	331.0
𐤌𐤊𐤋𐤊𐤋	exact	1	proclitic	𐤌 + 𐤊 + 𐤋𐤊𐤋	𐤋𐤊𐤋	326	326.0
𐤅𐤊𐤀𐤔𐤓	exact	15	proclitic	𐤅 + 𐤊 + 𐤀𐤔𐤓	𐤀𐤔𐤓	4836	322.4
𐤁𐤅𐤀𐤅	exact	1	proclitic	𐤁 + 𐤅 + 𐤀𐤅	𐤀𐤅	321	321.0
𐤄𐤔𐤋𐤊	exact	3	proclitic	𐤄 + 𐤔 + 𐤋𐤊	𐤋𐤊	961	320.3
𐤅𐤌𐤀𐤕	exact	23	proclitic	𐤅 + 𐤌 + 𐤀𐤕	𐤀𐤕	7362	320.1
𐤁𐤊𐤉	exact	14	proclitic	𐤁 + 𐤊𐤉	𐤊𐤉	4369	312.1
𐤋𐤔𐤀𐤕	exact	24	proclitic	𐤋 + 𐤔 + 𐤀𐤕	𐤀𐤕	7362	306.8
𐤅𐤋𐤀𐤔𐤓	exact	16	proclitic	𐤅 + 𐤋 + 𐤀𐤔𐤓	𐤀𐤔𐤓	4836	302.3
𐤊𐤃𐤁𐤓𐤉	exact	1	proclitic	𐤊 + 𐤃𐤁𐤓𐤉	𐤃𐤁𐤓𐤉	299	299.0
𐤌𐤃𐤁𐤓𐤉	exact	1	proclitic	𐤌 + 𐤃𐤁𐤓𐤉	𐤃𐤁𐤓𐤉	299	299.0
𐤅𐤁𐤃𐤁𐤓𐤉	exact	1	proclitic	𐤅 + 𐤁 + 𐤃𐤁𐤓𐤉	𐤃𐤁𐤓𐤉	299	299.0
𐤅𐤁𐤈𐤅𐤁	exact	1	proclitic	𐤅 + 𐤁 + 𐤈𐤅𐤁	𐤈𐤅𐤁	298	298.0
𐤋𐤌𐤀𐤃	exact	1	proclitic	𐤋 + 𐤌𐤀𐤃	𐤌𐤀𐤃	291	291.0
𐤄𐤌𐤔𐤍𐤉𐤌	exact	1	proclitic	𐤄 + 𐤌 + 𐤔𐤍𐤉𐤌	𐤔𐤍𐤉𐤌	285	285.0
𐤌𐤔𐤍𐤉𐤌	exact	1	proclitic	𐤌 + 𐤔𐤍𐤉𐤌	𐤔𐤍𐤉𐤌	285	285.0
𐤊𐤔𐤍𐤉𐤌	exact	1	proclitic	𐤊 + 𐤔𐤍𐤉𐤌	𐤔𐤍𐤉𐤌	285	285.0
𐤅𐤑𐤁𐤀𐤅𐤕	plene	1	proclitic	𐤅 + 𐤑𐤁𐤀𐤅𐤕	𐤑𐤁𐤀𐤅𐤕	285	285.0
𐤁𐤀𐤔𐤓	exact	17	proclitic	𐤁 + 𐤀𐤔𐤓	𐤀𐤔𐤓	4836	284.5
𐤅𐤋𐤀𐤉𐤔	exact	4	proclitic	𐤅 + 𐤋 + 𐤀𐤉𐤔	𐤀𐤉𐤔	1130	282.5
𐤊𐤁𐤅𐤀𐤌	exact	1	proclitic	𐤊 + 𐤁 + 𐤅𐤀𐤌	𐤅𐤀𐤌	282	282.0
𐤁𐤁𐤍𐤅	exact	1	proclitic	𐤁 + 𐤁𐤍𐤅	𐤁𐤍𐤅	282	282.0
𐤁𐤋𐤁𐤍𐤅	plene	1	proclitic	𐤁 + 𐤋 + 𐤁𐤍𐤅	𐤁𐤍𐤅	282	282.0
𐤅𐤊𐤊𐤄	exact	2	proclitic	𐤅 + 𐤊 + 𐤊𐤄	𐤊𐤄	554	277.0
𐤅𐤁𐤀𐤌𐤓	plene	3	proclitic	𐤅 + 𐤁 + 𐤀𐤌𐤓	𐤀𐤌𐤓	830	276.7
𐤁𐤀𐤌𐤓	exact	3	proclitic	𐤁 + 𐤀𐤌𐤓	𐤀𐤌𐤓	830	276.7
𐤄𐤏𐤋	exact	13	proclitic	𐤄 + 𐤏𐤋	𐤏𐤋	3565	274.2
𐤅𐤁𐤏𐤔𐤓	plene	1	proclitic	𐤅 + 𐤁 + 𐤏𐤔𐤓	𐤏𐤔𐤓	274	274.0
𐤊𐤏𐤔𐤓	exact	1	proclitic	𐤊 + 𐤏𐤔𐤓	𐤏𐤔𐤓	274	274.0
𐤁𐤁𐤍	exact	6	proclitic	𐤁 + 𐤁𐤍	𐤁𐤍	1634	272.3
𐤌𐤁𐤀	exact	1	proclitic	𐤌 + 𐤁𐤀	𐤁𐤀	268	268.0
𐤌𐤋𐤀𐤕𐤌	exact	2	proclitic	𐤌 + 𐤋 + 𐤀𐤕𐤌	𐤀𐤕𐤌	535	267.5
𐤅𐤁𐤊𐤍	exact	2	proclitic	𐤅 + 𐤁 + 𐤊𐤍	𐤊𐤍	534	267.0
𐤄𐤔𐤊𐤍	exact	2	proclitic	𐤄 + 𐤔 + 𐤊𐤍	𐤊𐤍	534	267.0
𐤋𐤊𐤉	exact	17	proclitic	𐤋 + 𐤊𐤉	𐤊𐤉	4369	257.0
𐤌𐤀𐤔𐤓	exact	19	proclitic	𐤌 + 𐤀𐤔𐤓	𐤀𐤔𐤓	4836	254.5
𐤌𐤔𐤋𐤌𐤄	exact	1	proclitic	𐤌 + 𐤔𐤋𐤌𐤄	𐤔𐤋𐤌𐤄	253	253.0
𐤔𐤋𐤔𐤋𐤌𐤄	exact	1	proclitic	𐤔 + 𐤋 + 𐤔𐤋𐤌𐤄	𐤔𐤋𐤌𐤄	253	253.0
𐤄𐤔𐤋𐤌𐤄	exact	1	proclitic	𐤄 + 𐤔𐤋𐤌𐤄	𐤔𐤋𐤌𐤄	253	253.0
𐤌𐤆𐤀𐤕	exact	1	proclitic	𐤌 + 𐤆𐤀𐤕	𐤆𐤀𐤕	251	251.0
𐤅𐤁𐤆𐤀𐤕	exact	1	proclitic	𐤅 + 𐤁 + 𐤆𐤀𐤕	𐤆𐤀𐤕	251	251.0
𐤅𐤄𐤅𐤏𐤃	exact	1	proclitic	𐤅 + 𐤄 + 𐤅𐤏𐤃	𐤅𐤏𐤃	250	250.0
𐤄𐤁𐤋𐤉	exact	3	proclitic	𐤄 + 𐤁 + 𐤋𐤉	𐤋𐤉	747	249.0
𐤋𐤁𐤄𐤏𐤌	adjacent	3	proclitic	𐤋 + 𐤁 + 𐤄𐤏𐤌	𐤄𐤏𐤌	743	247.7
𐤅𐤁𐤏𐤋𐤉	exact	1	proclitic	𐤅 + 𐤁 + 𐤏𐤋𐤉	𐤏𐤋𐤉	243	243.0
𐤅𐤋𐤉𐤅𐤌	exact	1	proclitic	𐤅 + 𐤋 + 𐤉𐤅𐤌	𐤉𐤅𐤌	241	241.0
𐤁𐤁𐤏𐤋	exact	15	proclitic	𐤁 + 𐤁 + 𐤏𐤋	𐤏𐤋	3565	237.7
𐤌𐤄𐤔𐤌𐤉𐤌	exact	1	proclitic	𐤌 + 𐤄𐤔𐤌𐤉𐤌	𐤄𐤔𐤌𐤉𐤌	236	236.0
𐤁𐤊𐤋𐤊𐤌	plene	2	proclitic	𐤁 + 𐤊 + 𐤋𐤊𐤌	𐤋𐤊𐤌	470	235.0
𐤄𐤋𐤍𐤅	exact	1	proclitic	𐤄 + 𐤋𐤍𐤅	𐤋𐤍𐤅	235	235.0
𐤌𐤔𐤋𐤍𐤅	exact	1	proclitic	𐤌 + 𐤔 + 𐤋𐤍𐤅	𐤋𐤍𐤅	235	235.0
𐤋𐤊𐤋𐤊𐤌	exact	2	proclitic	𐤋 + 𐤊 + 𐤋𐤊𐤌	𐤋𐤊𐤌	470	235.0
𐤌𐤊𐤋𐤍𐤅	exact	1	proclitic	𐤌 + 𐤊 + 𐤋𐤍𐤅	𐤋𐤍𐤅	235	235.0
𐤔𐤋𐤊𐤌	plene	2	proclitic	𐤔 + 𐤋𐤊𐤌	𐤋𐤊𐤌	470	235.0
𐤅𐤔𐤋𐤍𐤅	plene	1	proclitic	𐤅 + 𐤔 + 𐤋𐤍𐤅	𐤋𐤍𐤅	235	235.0
𐤅𐤊𐤋𐤍𐤅	exact	1	proclitic	𐤅 + 𐤊 + 𐤋𐤍𐤅	𐤋𐤍𐤅	235	235.0
𐤔𐤋𐤍𐤅	plene	1	proclitic	𐤔 + 𐤋𐤍𐤅	𐤋𐤍𐤅	235	235.0
𐤊𐤔𐤋𐤍𐤅	exact	1	proclitic	𐤊 + 𐤔 + 𐤋𐤍𐤅	𐤋𐤍𐤅	235	235.0
𐤁𐤋𐤄	exact	1	proclitic	𐤁 + 𐤋𐤄	𐤋𐤄	229	229.0
𐤄𐤌𐤋𐤄	exact	1	proclitic	𐤄 + 𐤌 + 𐤋𐤄	𐤋𐤄	229	229.0
𐤊𐤊𐤋𐤄	exact	1	proclitic	𐤊 + 𐤊 + 𐤋𐤄	𐤋𐤄	229	229.0
𐤌𐤄𐤌𐤄	exact	2	proclitic	𐤌 + 𐤄 + 𐤌𐤄	𐤌𐤄	451	225.5
𐤊𐤀𐤋𐤄𐤉𐤌	exact	3	proclitic	𐤊 + 𐤀𐤋𐤄𐤉𐤌	𐤀𐤋𐤄𐤉𐤌	665	221.7
𐤅𐤄𐤁𐤕	exact	1	proclitic	𐤅 + 𐤄 + 𐤁𐤕	𐤁𐤕	215	215.0
𐤌𐤀𐤋𐤉𐤅	plene	2	proclitic	𐤌 + 𐤀𐤋𐤉𐤅	𐤀𐤋𐤉𐤅	428	214.0
𐤅𐤋𐤏𐤅𐤋𐤌	exact	1	proclitic	𐤅 + 𐤋 + 𐤏𐤅𐤋𐤌	𐤏𐤅𐤋𐤌	214	214.0
𐤌𐤄𐤏𐤅𐤋𐤌	exact	1	proclitic	𐤌 + 𐤄 + 𐤏𐤅𐤋𐤌	𐤏𐤅𐤋𐤌	214	214.0
𐤅𐤌𐤓𐤅𐤇	exact	1	proclitic	𐤅 + 𐤌 + 𐤓𐤅𐤇	𐤓𐤅𐤇	213	213.0
𐤅𐤄𐤓𐤅𐤇	exact	1	proclitic	𐤅 + 𐤄 + 𐤓𐤅𐤇	𐤓𐤅𐤇	213	213.0
𐤊𐤋𐤓𐤅𐤇	adjacent	1	proclitic	𐤊 + 𐤋 + 𐤓𐤅𐤇	𐤓𐤅𐤇	213	213.0
𐤋𐤌𐤔𐤍𐤄	exact	2	proclitic	𐤋 + 𐤌 + 𐤔𐤍𐤄	𐤔𐤍𐤄	425	212.5
𐤁𐤀𐤁𐤉	exact	1	proclitic	𐤁 + 𐤀𐤁𐤉	𐤀𐤁𐤉	206	206.0
𐤅𐤌𐤁𐤉𐤕	exact	5	proclitic	𐤅 + 𐤌 + 𐤁𐤉𐤕	𐤁𐤉𐤕	1025	205.0
𐤅𐤏𐤋𐤉𐤊	exact	1	proclitic	𐤅 + 𐤏𐤋𐤉𐤊	𐤏𐤋𐤉𐤊	204	204.0
𐤄𐤀𐤌	exact	4	proclitic	𐤄 + 𐤀𐤌	𐤀𐤌	812	203.0
𐤌𐤄𐤄𐤅𐤀	adjacent	5	proclitic	𐤌 + 𐤄 + 𐤄𐤅𐤀	𐤄𐤅𐤀	1011	202.2
𐤋𐤀𐤔𐤓	exact	24	proclitic	𐤋 + 𐤀𐤔𐤓	𐤀𐤔𐤓	4836	201.5
𐤄𐤋𐤁	exact	1	proclitic	𐤄 + 𐤋𐤁	𐤋𐤁	200	200.0
𐤅𐤄𐤋𐤁	plene	1	proclitic	𐤅 + 𐤄 + 𐤋𐤁	𐤋𐤁	200	200.0
𐤊𐤋𐤏𐤅𐤃	adjacent	2	proclitic	𐤊 + 𐤋 + 𐤏𐤅𐤃	𐤏𐤅𐤃	395	197.5
𐤁𐤌𐤑𐤅𐤄	plene	1	proclitic	𐤁 + 𐤌 + 𐤑𐤅𐤄	𐤑𐤅𐤄	197	197.0
𐤊𐤌𐤑𐤅𐤄	plene	1	proclitic	𐤊 + 𐤌 + 𐤑𐤅𐤄	𐤑𐤅𐤄	197	197.0
𐤔𐤄𐤉𐤀	plene	1	proclitic	𐤔 + 𐤄𐤉𐤀	𐤄𐤉𐤀	193	193.0
𐤊𐤋𐤊	exact	5	proclitic	𐤊 + 𐤋𐤊	𐤋𐤊	961	192.2
𐤅𐤔𐤋𐤊	plene	5	proclitic	𐤅 + 𐤔 + 𐤋𐤊	𐤋𐤊	961	192.2
𐤋𐤄𐤋𐤊	exact	5	proclitic	𐤋 + 𐤄 + 𐤋𐤊	𐤋𐤊	961	192.2
𐤅𐤁𐤔𐤁𐤏	exact	1	proclitic	𐤅 + 𐤁 + 𐤔𐤁𐤏	𐤔𐤁𐤏	187	187.0
𐤌𐤄𐤓𐤁	adjacent	1	proclitic	𐤌 + 𐤄 + 𐤓𐤁	𐤓𐤁	186	186.0
𐤅𐤔𐤓𐤁	plene	1	proclitic	𐤅 + 𐤔 + 𐤓𐤁	𐤓𐤁	186	186.0
𐤅𐤊𐤀𐤋𐤄	exact	2	proclitic	𐤅 + 𐤊 + 𐤀𐤋𐤄	𐤀𐤋𐤄	370	185.0
𐤄𐤋𐤊𐤄	exact	3	proclitic	𐤄 + 𐤋 + 𐤊𐤄	𐤊𐤄	554	184.7
𐤔𐤊𐤊𐤄	exact	3	proclitic	𐤔 + 𐤊 + 𐤊𐤄	𐤊𐤄	554	184.7
𐤄𐤏𐤃	exact	6	proclitic	𐤄 + 𐤏𐤃	𐤏𐤃	1095	182.5
𐤁𐤌𐤔𐤄	exact	4	proclitic	𐤁 + 𐤌𐤔𐤄	𐤌𐤔𐤄	729	182.3
𐤌𐤋𐤁𐤅	exact	2	proclitic	𐤌 + 𐤋 + 𐤁𐤅	𐤁𐤅	364	182.0
𐤋𐤋𐤁𐤍	exact	9	proclitic	𐤋 + 𐤋 + 𐤁𐤍	𐤁𐤍	1634	181.6
𐤅𐤄𐤂𐤅𐤉𐤌	exact	1	proclitic	𐤅 + 𐤄𐤂𐤅𐤉𐤌	𐤄𐤂𐤅𐤉𐤌	180	180.0
𐤁𐤂𐤃𐤅𐤋	exact	1	proclitic	𐤁 + 𐤂𐤃𐤅𐤋	𐤂𐤃𐤅𐤋	179	179.0
𐤄𐤁𐤀𐤕𐤌	exact	3	proclitic	𐤄 + 𐤁 + 𐤀𐤕𐤌	𐤀𐤕𐤌	535	178.3
𐤋𐤁𐤏𐤋	exact	20	proclitic	𐤋 + 𐤁 + 𐤏𐤋	𐤏𐤋	3565	178.3
𐤀𐤕𐤄𐤊𐤄𐤍	adjacent	2	particle	𐤀𐤕 + 𐤄𐤊𐤄𐤍	𐤄𐤊𐤄𐤍	355	177.5
𐤁𐤐𐤍𐤉	exact	2	proclitic	𐤁 + 𐤐𐤍𐤉	𐤐𐤍𐤉	351	175.5
𐤅𐤁𐤄𐤌	exact	1	proclitic	𐤅 + 𐤁 + 𐤄𐤌	𐤄𐤌	174	174.0
𐤅𐤌𐤓𐤁𐤉𐤌	exact	1	proclitic	𐤅 + 𐤌 + 𐤓𐤁𐤉𐤌	𐤓𐤁𐤉𐤌	174	174.0
𐤀𐤕𐤀𐤋𐤄𐤉𐤍𐤅	adjacent	1	particle	𐤀𐤕 + 𐤀𐤋𐤄𐤉𐤍𐤅	𐤀𐤋𐤄𐤉𐤍𐤅	174	174.0
𐤔𐤄𐤉𐤅	exact	1	proclitic	𐤔 + 𐤄𐤉𐤅	𐤄𐤉𐤅	172	172.0
𐤌𐤍𐤐𐤔𐤉	plene	1	proclitic	𐤌 + 𐤍𐤐𐤔𐤉	𐤍𐤐𐤔𐤉	171	171.0
𐤅𐤌𐤍𐤐𐤔𐤉	plene	1	proclitic	𐤅 + 𐤌 + 𐤍𐤐𐤔𐤉	𐤍𐤐𐤔𐤉	171	171.0
𐤅𐤋𐤔𐤌𐤏	exact	1	proclitic	𐤅 + 𐤋 + 𐤔𐤌𐤏	𐤔𐤌𐤏	169	169.0
𐤅𐤊𐤔𐤌𐤏	exact	1	proclitic	𐤅 + 𐤊 + 𐤔𐤌𐤏	𐤔𐤌𐤏	169	169.0
𐤔𐤂𐤌	exact	3	proclitic	𐤔 + 𐤂𐤌	𐤂𐤌	507	169.0
𐤅𐤊𐤔𐤌𐤏𐤅	exact	1	proclitic	𐤅 + 𐤊 + 𐤔𐤌𐤏𐤅	𐤔𐤌𐤏𐤅	167	167.0
𐤊𐤔𐤌𐤏𐤅	exact	1	proclitic	𐤊 + 𐤔𐤌𐤏𐤅	𐤔𐤌𐤏𐤅	167	167.0
𐤀𐤕𐤔𐤌𐤏𐤅	adjacent	1	particle	𐤀𐤕 + 𐤔𐤌𐤏𐤅	𐤔𐤌𐤏𐤅	167	167.0
𐤌𐤀𐤋𐤄𐤉𐤌	exact	4	proclitic	𐤌 + 𐤀𐤋𐤄𐤉𐤌	𐤀𐤋𐤄𐤉𐤌	665	166.3
𐤊𐤉𐤃𐤅	exact	1	proclitic	𐤊 + 𐤉𐤃𐤅	𐤉𐤃𐤅	166	166.0
𐤌𐤀𐤋𐤉𐤄𐤌	plene	1	proclitic	𐤌 + 𐤀𐤋𐤉𐤄𐤌	𐤀𐤋𐤉𐤄𐤌	166	166.0
𐤋𐤁𐤏𐤋𐤄	plene	1	proclitic	𐤋 + 𐤁 + 𐤏𐤋𐤄	𐤏𐤋𐤄	165	165.0
